"Statistics name :","2020 Population Census Basic Complete Tabulation on Population and Households"
"Table Number :","1-1-1"
"Title :","[Population, Households, Sex, Age and Marital status] Population by Sex - Japan, Prefectures, Municipalities (including Municipalities as of 2000)"
"Implementation date :","2020","Oct."
"Cities, Towns and Villages :","-"

"***","Data not available"
"-","Data not available"

"","","","","","","/Tabulated variable Code","2020_01","2020_01","2020_01"
"","","","","","","/Tabulated variable Auxiliary Code","-","-","-"
"","","","","","","/Tabulated variable","Population[people]","Population[people]","Population[people]"
"","","","","","","/Sex Code","0","1","2"
"","","","","","","/Sex Auxiliary Code","-","-","-"
"Time Code","Time Auxiliary Code","Time","All Municipalities (including those as of 2000) Code","All Municipalities (including those as of 2000) Auxiliary Code","All Municipalities (including those as of 2000)","/Sex","Total","Male","Female"
"2020000000","","2020","00000","","Japan","","126,146,099","61,349,581","64,796,518"
"2020000000","","2020","01000","","Hokkaido","","5,224,614","2,465,088","2,759,526"
"2020000000","","2020","01100","","Sapporo-shi","","1,973,395","918,682","1,054,713"
"2020000000","","2020","01101","","Sapporo-shi Chuo-ku","","248,680","112,853","135,827"
"2020000000","","2020","01102","","Sapporo-shi Kita-ku","","289,323","136,596","152,727"
"2020000000","","2020","01103","","Sapporo-shi Higashi-ku","","265,379","126,023","139,356"
"2020000000","","2020","01104","","Sapporo-shi Shiroishi-ku","","211,835","100,062","111,773"
"2020000000","","2020","01105","","Sapporo-shi Toyohira-ku","","225,298","104,154","121,144"
"2020000000","","2020","01106","","Sapporo-shi Minami-ku","","135,777","62,347","73,430"
"2020000000","","2020","01107","","Sapporo-shi Nishi-ku","","217,040","100,027","117,013"
"2020000000","","2020","01108","","Sapporo-shi Atsubetsu-ku","","125,083","56,755","68,328"
"2020000000","","2020","01109","","Sapporo-shi Teine-ku","","142,625","66,913","75,712"
"2020000000","","2020","01110","","Sapporo-shi Kiyota-ku","","112,355","52,952","59,403"
"2020000000","","2020","01202","","Hakodate-shi","","251,084","113,965","137,119"
"2020000000","","2020","0120B","","(Municipalities as of 2000) Hakodate-shi","","241,024","109,284","131,740"
"2020000000","","2020","01339","","(Municipalities as of 2000) Toi-cho","","2,291","1,026","1,265"
"2020000000","","2020","01340","","(Municipalities as of 2000) Esan-cho","","2,486","1,164","1,322"
"2020000000","","2020","01341","","(Municipalities as of 2000) Todohokke-mura","","745","338","407"
"2020000000","","2020","01342","","(Municipalities as of 2000) Minamikayabe-cho","","4,538","2,153","2,385"
"2020000000","","2020","01203","","Otaru-shi","","111,299","50,136","61,163"
"2020000000","","2020","01204","","Asahikawa-shi","","329,306","152,108","177,198"
"2020000000","","2020","01205","","Muroran-shi","","82,383","40,390","41,993"
"2020000000","","2020","01206","","Kushiro-shi","","165,077","77,506","87,571"
"2020000000","","2020","0120C","","(Municipalities as of 2000) Kushiro-shi","","159,011","74,548","84,463"
"2020000000","","2020","01666","","(Municipalities as of 2000) Akan-cho","","4,390","2,127","2,263"
"2020000000","","2020","01669","","(Municipalities as of 2000) Ombetsu-cho","","1,676","831","845"
"2020000000","","2020","01207","","Obihiro-shi","","166,536","79,623","86,913"
"2020000000","","2020","01208","","Kitami-shi","","115,480","54,729","60,751"
"2020000000","","2020","0120D","","(Municipalities as of 2000) Kitami-shi","","102,000","48,392","53,608"
"2020000000","","2020","01548","","(Municipalities as of 2000) Tanno-cho","","4,384","2,126","2,258"
"2020000000","","2020","01551","","(Municipalities as of 2000) Rubeshibe-cho","","5,570","2,565","3,005"
"2020000000","","2020","01553","","(Municipalities as of 2000) Tokoro-cho","","3,526","1,646","1,880"
"2020000000","","2020","01209","","Yubari-shi","","7,334","3,381","3,953"
"2020000000","","2020","01210","","Iwamizawa-shi","","79,306","37,105","42,201"
"2020000000","","2020","0121B","","(Municipalities as of 2000) Iwamizawa-shi","","72,184","33,758","38,426"
"2020000000","","2020","01421","","(Municipalities as of 2000) Kita-mura","","2,320","1,095","1,225"
"2020000000","","2020","01422","","(Municipalities as of 2000) Kurisawa-cho","","4,802","2,252","2,550"
"2020000000","","2020","01211","","Abashiri-shi","","35,759","18,060","17,699"
"2020000000","","2020","01212","","Rumoi-shi","","20,114","9,649","10,465"
"2020000000","","2020","01213","","Tomakomai-shi","","170,113","83,522","86,591"
"2020000000","","2020","01214","","Wakkanai-shi","","33,563","16,651","16,912"
"2020000000","","2020","01215","","Bibai-shi","","20,413","9,565","10,848"
"2020000000","","2020","01216","","Ashibetsu-shi","","12,555","5,762","6,793"
"2020000000","","2020","01217","","Ebetsu-shi","","121,056","57,523","63,533"
"2020000000","","2020","01218","","Akabira-shi","","9,698","4,388","5,310"
"2020000000","","2020","01219","","Mombetsu-shi","","21,215","9,901","11,314"
"2020000000","","2020","01220","","Shibetsu-shi","","17,858","8,416","9,442"
"2020000000","","2020","0122B","","(Municipalities as of 2000) Shibetsu-shi","","16,734","7,913","8,821"
"2020000000","","2020","01466","","(Municipalities as of 2000) Asahi-cho","","1,124","503","621"
"2020000000","","2020","01221","","Nayoro-shi","","27,282","13,322","13,960"
"2020000000","","2020","0122C","","(Municipalities as of 2000) Nayoro-shi","","23,788","11,714","12,074"
"2020000000","","2020","01467","","(Municipalities as of 2000) Furen-cho","","3,494","1,608","1,886"
"2020000000","","2020","01222","","Mikasa-shi","","8,040","3,631","4,409"
"2020000000","","2020","01223","","Nemuro-shi","","24,636","11,762","12,874"
"2020000000","","2020","01224","","Chitose-shi","","97,950","49,790","48,160"
"2020000000","","2020","01225","","Takikawa-shi","","39,490","18,832","20,658"
"2020000000","","2020","01226","","Sunagawa-shi","","16,486","7,607","8,879"
"2020000000","","2020","01227","","Utashinai-shi","","2,989","1,399","1,590"
"2020000000","","2020","01228","","Fukagawa-shi","","20,039","9,362","10,677"
"2020000000","","2020","01229","","Furano-shi","","21,131","9,947","11,184"
"2020000000","","2020","01230","","Noboribetsu-shi","","46,391","22,146","24,245"
"2020000000","","2020","01231","","Eniwa-shi","","70,331","34,088","36,243"
"2020000000","","2020","01233","","Date-shi","","32,826","15,176","17,650"
"2020000000","","2020","0123B","","(Municipalities as of 2000) Date-shi","","31,748","14,674","17,074"
"2020000000","","2020","01574","","(Municipalities as of 2000) Otaki-mura","","1,078","502","576"
"2020000000","","2020","01234","","Kitahiroshima-shi","","58,171","27,763","30,408"
"2020000000","","2020","01235","","Ishikari-shi","","56,869","27,324","29,545"
"2020000000","","2020","0123C","","(Municipalities as of 2000) Ishikari-shi","","54,147","25,990","28,157"
"2020000000","","2020","01305","","(Municipalities as of 2000) Atsuta-mura","","1,638","823","815"
"2020000000","","2020","01306","","(Municipalities as of 2000) Hamamasu-mura","","1,084","511","573"
"2020000000","","2020","01236","","Hokuto-shi","","44,302","20,542","23,760"
"2020000000","","2020","01335","","(Municipalities as of 2000) Kamiiso-cho","","34,276","15,857","18,419"
"2020000000","","2020","01336","","(Municipalities as of 2000) Ono-cho","","10,026","4,685","5,341"
"2020000000","","2020","01303","","Tobetsu-cho","","15,916","7,703","8,213"
"2020000000","","2020","01304","","Shinshinotsu-mura","","3,044","1,484","1,560"
"2020000000","","2020","01331","","Matsumae-cho","","6,260","2,805","3,455"
"2020000000","","2020","01332","","Fukushima-cho","","3,794","1,755","2,039"
"2020000000","","2020","01333","","Shiriuchi-cho","","4,167","2,060","2,107"
"2020000000","","2020","01334","","Kikonai-cho","","3,832","1,750","2,082"
"2020000000","","2020","01337","","Nanae-cho","","27,686","12,679","15,007"
"2020000000","","2020","01343","","Shikabe-cho","","3,760","1,779","1,981"
"2020000000","","2020","01345","","Mori-machi","","14,338","6,658","7,680"
"2020000000","","2020","01344","","(Municipalities as of 2000) Sawara-cho","","3,404","1,563","1,841"
"2020000000","","2020","0134B","","(Municipalities as of 2000) Mori-machi","","10,934","5,095","5,839"
"2020000000","","2020","01346","","Yakumo-cho","","15,826","7,894","7,932"
"2020000000","","2020","0134C","","(Municipalities as of 2000) Yakumo-cho","","13,833","6,970","6,863"
"2020000000","","2020","01365","","(Municipalities as of 2000) Kumaishi-cho","","1,993","924","1,069"
"2020000000","","2020","01347","","Oshamambe-cho","","5,109","2,448","2,661"
"2020000000","","2020","01361","","Esashi-cho","","7,428","3,569","3,859"
"2020000000","","2020","01362","","Kaminokuni-cho","","4,306","1,965","2,341"
"2020000000","","2020","01363","","Assabu-cho","","3,592","1,717","1,875"
"2020000000","","2020","01364","","Otobe-cho","","3,403","1,538","1,865"
"2020000000","","2020","01367","","Okushiri-cho","","2,410","1,280","1,130"
"2020000000","","2020","01370","","Imakane-cho","","5,072","2,446","2,626"
"2020000000","","2020","01371","","Setana-cho","","7,398","3,466","3,932"
"2020000000","","2020","01366","","(Municipalities as of 2000) Taisei-cho","","1,280","555","725"
"2020000000","","2020","01368","","(Municipalities as of 2000) Setana-cho","","1,615","767","848"
"2020000000","","2020","01369","","(Municipalities as of 2000) Kitahiyama-cho","","4,503","2,144","2,359"
"2020000000","","2020","01391","","Shimamaki-mura","","1,356","687","669"
"2020000000","","2020","01392","","Suttsu-cho","","2,838","1,397","1,441"
"2020000000","","2020","01393","","Kuromatsunai-cho","","2,791","1,353","1,438"
"2020000000","","2020","01394","","Rankoshi-cho","","4,568","2,197","2,371"
"2020000000","","2020","01395","","Niseko-cho","","5,074","2,624","2,450"
"2020000000","","2020","01396","","Makkari-mura","","2,045","1,035","1,010"
"2020000000","","2020","01397","","Rusutsu-mura","","1,911","971","940"
"2020000000","","2020","01398","","Kimobetsu-cho","","2,156","1,112","1,044"
"2020000000","","2020","01399","","Kyogoku-cho","","2,941","1,420","1,521"
"2020000000","","2020","01400","","Kutchan-cho","","15,129","7,787","7,342"
"2020000000","","2020","01401","","Kyowa-cho","","5,772","3,047","2,725"
"2020000000","","2020","01402","","Iwanai-cho","","11,648","5,500","6,148"
"2020000000","","2020","01403","","Tomari-mura","","1,569","784","785"
"2020000000","","2020","01404","","Kamoenai-mura","","870","400","470"
"2020000000","","2020","01405","","Shakotan-cho","","1,831","855","976"
"2020000000","","2020","01406","","Furubira-cho","","2,745","1,307","1,438"
"2020000000","","2020","01407","","Niki-cho","","3,180","1,526","1,654"
"2020000000","","2020","01408","","Yoichi-cho","","18,000","8,342","9,658"
"2020000000","","2020","01409","","Akaigawa-mura","","1,165","606","559"
"2020000000","","2020","01423","","Nanporo-cho","","7,319","3,461","3,858"
"2020000000","","2020","01424","","Naie-cho","","5,120","2,405","2,715"
"2020000000","","2020","01425","","Kamisunagawa-cho","","2,841","1,292","1,549"
"2020000000","","2020","01427","","Yuni-cho","","4,822","2,302","2,520"
"2020000000","","2020","01428","","Naganuma-cho","","10,289","4,919","5,370"
"2020000000","","2020","01429","","Kuriyama-cho","","11,272","5,176","6,096"
"2020000000","","2020","01430","","Tsukigata-cho","","3,691","2,185","1,506"
"2020000000","","2020","01431","","Urausu-cho","","1,732","845","887"
"2020000000","","2020","01432","","Shintotsukawa-cho","","6,484","2,976","3,508"
"2020000000","","2020","01433","","Moseushi-cho","","2,693","1,290","1,403"
"2020000000","","2020","01434","","Chippubetsu-cho","","2,329","1,072","1,257"
"2020000000","","2020","01436","","Uryu-cho","","2,389","1,165","1,224"
"2020000000","","2020","01437","","Hokuryu-cho","","1,724","823","901"
"2020000000","","2020","01438","","Numata-cho","","2,909","1,392","1,517"
"2020000000","","2020","01452","","Takasu-cho","","6,567","3,105","3,462"
"2020000000","","2020","01453","","Higashikagura-cho","","10,127","4,702","5,425"
"2020000000","","2020","01454","","Tohma-cho","","6,319","2,912","3,407"
"2020000000","","2020","01455","","Pippu-cho","","3,520","1,662","1,858"
"2020000000","","2020","01456","","Aibetsu-cho","","2,605","1,215","1,390"
"2020000000","","2020","01457","","Kamikawa-cho","","3,500","1,708","1,792"
"2020000000","","2020","01458","","Higashikawa-cho","","8,314","3,877","4,437"
"2020000000","","2020","01459","","Biei-cho","","9,668","4,495","5,173"
"2020000000","","2020","01460","","Kamifurano-cho","","10,348","5,363","4,985"
"2020000000","","2020","01461","","Nakafurano-cho","","4,733","2,260","2,473"
"2020000000","","2020","01462","","Minamifurano-cho","","2,376","1,228","1,148"
"2020000000","","2020","01463","","Shimukappu-mura","","1,306","653","653"
"2020000000","","2020","01464","","Wassamu-cho","","3,192","1,497","1,695"
"2020000000","","2020","01465","","Kembuchi-cho","","2,926","1,425","1,501"
"2020000000","","2020","01468","","Shimokawa-cho","","3,126","1,491","1,635"
"2020000000","","2020","01469","","Bifuka-cho","","4,145","2,038","2,107"
"2020000000","","2020","01470","","Otoineppu-mura","","706","365","341"
"2020000000","","2020","01471","","Nakagawa-cho","","1,528","805","723"
"2020000000","","2020","01472","","Horokanai-cho","","1,370","681","689"
"2020000000","","2020","01439","","(Municipalities as of 2000) Horokanai-cho","","1,370","681","689"
"2020000000","","2020","01481","","Mashike-cho","","3,908","1,776","2,132"
"2020000000","","2020","01482","","Obira-cho","","2,994","1,431","1,563"
"2020000000","","2020","01483","","Tomamae-cho","","2,936","1,428","1,508"
"2020000000","","2020","01484","","Haboro-cho","","6,548","3,163","3,385"
"2020000000","","2020","01485","","Shosambetsu-mura","","1,080","518","562"
"2020000000","","2020","01486","","Embetsu-cho","","2,520","1,222","1,298"
"2020000000","","2020","01487","","Teshio-cho","","2,950","1,478","1,472"
"2020000000","","2020","01511","","Sarufutsu-mura","","2,611","1,285","1,326"
"2020000000","","2020","01512","","Hamatonbetsu-cho","","3,448","1,675","1,773"
"2020000000","","2020","01513","","Nakatombetsu-cho","","1,637","818","819"
"2020000000","","2020","01514","","Esashi-cho","","7,565","3,600","3,965"
"2020000000","","2020","0151B","","(Municipalities as of 2000) Esashi-cho","","6,067","2,884","3,183"
"2020000000","","2020","01515","","(Municipalities as of 2000) Utanobori-cho","","1,498","716","782"
"2020000000","","2020","01516","","Toyotomi-cho","","3,974","2,098","1,876"
"2020000000","","2020","01517","","Rebun-cho","","2,509","1,284","1,225"
"2020000000","","2020","01518","","Rishiri-cho","","2,004","994","1,010"
"2020000000","","2020","01519","","Rishirifuji-cho","","2,458","1,188","1,270"
"2020000000","","2020","01520","","Horonobe-cho","","2,371","1,290","1,081"
"2020000000","","2020","01488","","(Municipalities as of 2000) Horonobe-cho","","2,371","1,290","1,081"
"2020000000","","2020","01543","","Bihoro-cho","","18,697","9,063","9,634"
"2020000000","","2020","01544","","Tsubetsu-cho","","4,373","2,096","2,277"
"2020000000","","2020","01545","","Shari-cho","","11,418","5,672","5,746"
"2020000000","","2020","01546","","Kiyosato-cho","","3,883","1,882","2,001"
"2020000000","","2020","01547","","Koshimizu-cho","","4,623","2,207","2,416"
"2020000000","","2020","01549","","Kunneppu-cho","","4,677","2,241","2,436"
"2020000000","","2020","01550","","Oketo-cho","","2,775","1,281","1,494"
"2020000000","","2020","01552","","Saroma-cho","","4,875","2,296","2,579"
"2020000000","","2020","01555","","Engaru-cho","","19,241","9,337","9,904"
"2020000000","","2020","01554","","(Municipalities as of 2000) Ikutahara-cho","","1,582","792","790"
"2020000000","","2020","0155B","","(Municipalities as of 2000) Engaru-cho","","15,859","7,730","8,129"
"2020000000","","2020","01556","","(Municipalities as of 2000) Maruseppu-cho","","1,214","536","678"
"2020000000","","2020","01557","","(Municipalities as of 2000) Shirataki-mura","","586","279","307"
"2020000000","","2020","01559","","Yubetsu-cho","","8,270","3,947","4,323"
"2020000000","","2020","01558","","(Municipalities as of 2000) Kamiyubetsu-cho","","4,467","2,079","2,388"
"2020000000","","2020","0155C","","(Municipalities as of 2000) Yubetsu-cho","","3,803","1,868","1,935"
"2020000000","","2020","01560","","Takinoue-cho","","2,421","1,177","1,244"
"2020000000","","2020","01561","","Okoppe-cho","","3,628","1,768","1,860"
"2020000000","","2020","01562","","Nishiokoppe-mura","","1,053","520","533"
"2020000000","","2020","01563","","Oumu-cho","","4,199","1,999","2,200"
"2020000000","","2020","01564","","Ozora-cho","","6,775","3,287","3,488"
"2020000000","","2020","01541","","(Municipalities as of 2000) Higashimokoto-mura","","2,124","1,011","1,113"
"2020000000","","2020","01542","","(Municipalities as of 2000) Memambetsu-cho","","4,651","2,276","2,375"
"2020000000","","2020","01571","","Toyoura-cho","","3,821","1,781","2,040"
"2020000000","","2020","01575","","Sobetsu-cho","","2,743","1,285","1,458"
"2020000000","","2020","01578","","Shiraoi-cho","","16,212","7,706","8,506"
"2020000000","","2020","01581","","Atsuma-cho","","4,432","2,249","2,183"
"2020000000","","2020","01584","","Toyako-cho","","8,442","3,909","4,533"
"2020000000","","2020","01572","","(Municipalities as of 2000) Abuta-cho","","6,874","3,173","3,701"
"2020000000","","2020","01573","","(Municipalities as of 2000) Toya-mura","","1,568","736","832"
"2020000000","","2020","01585","","Abira-cho","","7,340","3,632","3,708"
"2020000000","","2020","01579","","(Municipalities as of 2000) Hayakita-cho","","4,358","2,192","2,166"
"2020000000","","2020","01580","","(Municipalities as of 2000) Oiwake-cho","","2,982","1,440","1,542"
"2020000000","","2020","01586","","Mukawa-cho","","7,651","3,779","3,872"
"2020000000","","2020","01582","","(Municipalities as of 2000) Mukawa-cho","","5,253","2,606","2,647"
"2020000000","","2020","01583","","(Municipalities as of 2000) Hobetsu-cho","","2,398","1,173","1,225"
"2020000000","","2020","01601","","Hidaka-cho","","11,279","5,712","5,567"
"2020000000","","2020","0160B","","(Municipalities as of 2000) Hidaka-cho","","1,347","703","644"
"2020000000","","2020","01603","","(Municipalities as of 2000) Mombetsu-cho","","9,932","5,009","4,923"
"2020000000","","2020","01602","","Biratori-cho","","4,776","2,395","2,381"
"2020000000","","2020","01604","","Niikappu-cho","","5,309","2,603","2,706"
"2020000000","","2020","01607","","Urakawa-cho","","12,074","5,975","6,099"
"2020000000","","2020","01608","","Samani-cho","","4,043","1,923","2,120"
"2020000000","","2020","01609","","Erimo-cho","","4,374","2,230","2,144"
"2020000000","","2020","01610","","Shinhidaka-cho","","21,517","10,473","11,044"
"2020000000","","2020","01605","","(Municipalities as of 2000) Shizunai-cho","","18,041","8,816","9,225"
"2020000000","","2020","01606","","(Municipalities as of 2000) Mitsuishi-cho","","3,476","1,657","1,819"
"2020000000","","2020","01631","","Otofuke-cho","","43,576","20,630","22,946"
"2020000000","","2020","01632","","Shihoro-cho","","5,848","2,891","2,957"
"2020000000","","2020","01633","","Kamishihoro-cho","","4,778","2,343","2,435"
"2020000000","","2020","01634","","Shikaoi-cho","","5,266","2,572","2,694"
"2020000000","","2020","01635","","Shintoku-cho","","5,817","2,900","2,917"
"2020000000","","2020","01636","","Shimizu-cho","","9,094","4,478","4,616"
"2020000000","","2020","01637","","Memuro-cho","","18,048","8,612","9,436"
"2020000000","","2020","01638","","Nakasatsunai-mura","","3,884","1,880","2,004"
"2020000000","","2020","01639","","Sarabetsu-mura","","3,080","1,519","1,561"
"2020000000","","2020","01641","","Taiki-cho","","5,420","2,714","2,706"
"2020000000","","2020","01642","","Hiroo-cho","","6,387","3,096","3,291"
"2020000000","","2020","01643","","Makubetsu-cho","","25,766","12,243","13,523"
"2020000000","","2020","01640","","(Municipalities as of 2000) Churui-mura","","1,427","698","729"
"2020000000","","2020","0164B","","(Municipalities as of 2000) Makubetsu-cho","","24,339","11,545","12,794"
"2020000000","","2020","01644","","Ikeda-cho","","6,294","2,967","3,327"
"2020000000","","2020","01645","","Toyokoro-cho","","3,022","1,478","1,544"
"2020000000","","2020","01646","","Hombetsu-cho","","6,618","3,228","3,390"
"2020000000","","2020","01647","","Ashoro-cho","","6,563","3,215","3,348"
"2020000000","","2020","01648","","Rikubetsu-cho","","2,264","1,138","1,126"
"2020000000","","2020","01649","","Urahoro-cho","","4,387","2,138","2,249"
"2020000000","","2020","01661","","Kushiro-cho","","19,105","9,101","10,004"
"2020000000","","2020","01662","","Akkeshi-cho","","8,892","4,173","4,719"
"2020000000","","2020","01663","","Hamanaka-cho","","5,507","2,726","2,781"
"2020000000","","2020","01664","","Shibecha-cho","","7,230","3,471","3,759"
"2020000000","","2020","01665","","Teshikaga-cho","","6,955","3,314","3,641"
"2020000000","","2020","01667","","Tsurui-mura","","2,558","1,254","1,304"
"2020000000","","2020","01668","","Shiranuka-cho","","7,289","3,414","3,875"
"2020000000","","2020","01691","","Betsukai-cho","","14,380","7,286","7,094"
"2020000000","","2020","01692","","Nakashibetsu-cho","","23,010","11,339","11,671"
"2020000000","","2020","01693","","Shibetsu-cho","","5,023","2,465","2,558"
"2020000000","","2020","01694","","Rausu-cho","","4,722","2,346","2,376"
"2020000000","","2020","02000","","Aomori-ken","","1,237,984","583,402","654,582"
"2020000000","","2020","02201","","Aomori-shi","","275,192","128,049","147,143"
"2020000000","","2020","0220B","","(Municipalities as of 2000) Aomori-shi","","258,064","119,995","138,069"
"2020000000","","2020","02364","","(Municipalities as of 2000) Namioka-machi","","17,128","8,054","9,074"
"2020000000","","2020","02202","","Hirosaki-shi","","168,466","77,251","91,215"
"2020000000","","2020","0220C","","(Municipalities as of 2000) Hirosaki-shi","","155,163","71,163","84,000"
"2020000000","","2020","02341","","(Municipalities as of 2000) Iwaki-machi","","10,187","4,657","5,530"
"2020000000","","2020","02342","","(Municipalities as of 2000) Soma-mura","","3,116","1,431","1,685"
"2020000000","","2020","02203","","Hachinohe-shi","","223,415","106,818","116,597"
"2020000000","","2020","0220D","","(Municipalities as of 2000) Hachinohe-shi","","218,718","104,564","114,154"
"2020000000","","2020","02448","","(Municipalities as of 2000) Nango-mura","","4,697","2,254","2,443"
"2020000000","","2020","02204","","Kuroishi-shi","","31,946","14,789","17,157"
"2020000000","","2020","02205","","Goshogawara-shi","","51,415","23,252","28,163"
"2020000000","","2020","0220E","","(Municipalities as of 2000) Goshogawara-shi","","41,926","18,975","22,951"
"2020000000","","2020","02382","","(Municipalities as of 2000) Kanagi-machi","","7,699","3,449","4,250"
"2020000000","","2020","02385","","(Municipalities as of 2000) Shiura-mura","","1,790","828","962"
"2020000000","","2020","02206","","Towada-shi","","60,378","28,685","31,693"
"2020000000","","2020","0220F","","(Municipalities as of 2000) Towada-shi","","56,695","26,914","29,781"
"2020000000","","2020","02404","","(Municipalities as of 2000) Towadako-machi","","3,683","1,771","1,912"
"2020000000","","2020","02207","","Misawa-shi","","39,152","19,602","19,550"
"2020000000","","2020","02208","","Mutsu-shi","","54,103","26,104","27,999"
"2020000000","","2020","0220G","","(Municipalities as of 2000) Mutsu-shi","","43,574","21,297","22,277"
"2020000000","","2020","02421","","(Municipalities as of 2000) Kawauchi-machi","","3,332","1,570","1,762"
"2020000000","","2020","02422","","(Municipalities as of 2000) Ohata-machi","","5,976","2,695","3,281"
"2020000000","","2020","02427","","(Municipalities as of 2000) Wakinosawa-mura","","1,221","542","679"
"2020000000","","2020","02209","","Tsugaru-shi","","30,934","14,363","16,571"
