"area","total","male","female"
"Fukushima-cho","3,794","1,755","2,039"
"Aomori-ken","1,237,984","583,402","654,582"
"Aomori-shi","275,192","128,049","147,143"
"(Municipalities as of 2000) Aomori-shi","258,064","119,995","138,069"
"Iwate-ken","1,210,534","582,952","627,582"
"(Municipalities as of 2000) Yamagata-mura","2,213","1,051","1,162"
"Iwate-machi","12,285","5,970","6,315"
"Miyagi-ken","2,301,996","1,122,598","1,179,398"
"Sendai-shi Miyagino-ku","196,732","96,341","100,391"
"Akita-ken","959,502","452,439","507,063"
"Akita-shi","307,672","145,411","162,261"
"(Municipalities as of 2000) Akita-shi","294,392","139,065","155,327"
"Yamagata-ken","1,068,027","516,438","551,589"
"Yamagata-shi","247,590","119,001","128,589"
"Fukushima-ken","1,833,152","903,864","929,288"
"Fukushima-shi","282,693","138,190","144,503"
"(Municipalities as of 2000) Fukushima-shi","277,492","135,642","141,850"
"Ishikawa-machi","14,644","7,334","7,310"
"Naraha-machi","3,710","2,147","1,563"
"Ibaraki-ken","2,867,009","1,430,976","1,436,033"
"(Municipalities as of 2000) Yamagata-machi","5,633","2,796","2,837"
"Ibaraki-machi","31,401","15,563","15,838"
"Tochigi-ken","1,933,146","964,930","968,216"
"Tochigi-shi","155,549","77,408","78,141"
"(Municipalities as of 2000) Tochigi-shi","77,064","37,810","39,254"
"(Municipalities as of 2000) Miyagi-mura","7,131","3,525","3,606"
"Naganohara-machi","5,095","2,529","2,566"
"Saitama-ken","7,344,765","3,652,169","3,692,596"
"Saitama-shi","1,324,025","652,920","671,105"
"Saitama-shi Nishi-ku","93,499","45,843","47,656"
"Saitama-shi Kita-ku","149,242","73,370","75,872"
"Saitama-shi Omiya-ku","117,784","58,338","59,446"
"Saitama-shi Minuma-ku","165,049","80,749","84,300"
"Saitama-shi Chuo-ku","103,269","51,016","52,253"
"Saitama-shi Sakura-ku","98,661","49,764","48,897"
"Saitama-shi Urawa-ku","164,822","79,554","85,268"
